title,abstract,url
Implementation of large-scale laboratory-based detection of COVID-19 in the Veterans Health Administration  March 2020 - February 2021,Severe acute respiratory syndrome coronavirus 2  SARS-CoV-2  presented numerous operational challenges to healthcare delivery networks responsible for implementing large scale detection of Coronavirus Disease 2019  COVID-19   the infection caused by SARS-CoV-2  We describe testing performance  review data quality metrics  and summarize experiences during the scale up of laboratory-based detection of COVID-19 in the Veterans Health Administration  the largest healthcare system in the United States  During March 2020 to February 2021  we observed rapid increase in testing volume  decreases in test turnaround time  improvements in testing of hospitalized persons  changes in test positivity  and varying utilization of different tests  Though performance metrics improved over time  surges challenged testing capacity and data quality remained suboptimal  Future planning efforts should focus on fortifying supply chains for consumables and equipment repair  optimizing distribution of testing workload across laboratories  and improving informatics to accurately monitor operations and intent for testing during a public health emergency,https://pubmed.ncbi.nlm.nih.gov/35007825
The psychological impact of therapeutic changes during the COVID-19-lockdown for gynaecological and breast cancer patients,OBJECTIVE  The exceptional health situation related to the Coronavirus 2019  COVID-19  pandemic has required an in-depth and immediate reorganisation of gynaecological cancer care  The main objective was to assess the psychological impact of such treatment modifications during the lockdown period for gynaecological and breast cancer patients  PATIENTS AND METHODS  A multicentre prospective study was conducted in three university gynaecological cancer wards  Hospices Civils de Lyon  France  during the French first lockdown  16 th  March to 11 th  May 2020   All patients with non-metastatic breast cancer or gynaecological cancer were included  Data was collected regarding treatment modifications  delay  cancellation  change of therapeutic plan   The psychological impact of treatment modifications during and after the lockdown was assessed by validated questionnaires  SF-12  EORTC-QLQ-C30  HADS   RESULTS  A total of 205 consecutive patients were included  aged 60 5   -1 0 years  Seven patients  3 4   presented a SARS-CoV-2 infection  and two patients died  Treatment was maintained for 122  59 5   patients  postponed for 72  35 1   and cancelled for 11  5 4    During the lockdown  35 118  29 7   patients suffered from confirmed anxiety and the mean fatigue-EORTC score was 48 00   -2 51  it was 38 64   -2 33  p 0 02  after the lockdown  After the lockdown and compared to the lockdown period  the mental SF-12 score and overall health status EORTC score were significantly higher  45 03   -1 06 vs 41 71   -1 15  p 0 02 and 64 58   -1 66 vs 57 44   -2 02  p 0 0007  respectively   The number of confirmed-anxiety cases was significantly higher among patients for whom treatment was delayed or cancelled  40 5  vs 23 7   p 0 04   CONCLUSION  This study quantified the treatment modifications of gynaecological cancer patients during the COVID-19 lockdown and revealed a poorer psychological state and quality of life during this period  even for patients whose treatment plan was not actually modified  Anxiety was more significant in patients with a delayed or cancelled treatment,https://pubmed.ncbi.nlm.nih.gov/35007776
Non-invasive administration of AAV to target lung parenchymal cells and develop SARS-CoV-2-susceptible mice,Adeno-associated virus  AAV -mediated gene delivery holds great promise for gene therapy  However  the non-invasive delivery of AAV for lung tissues has not been adequately established  Here  we revealed that the intratracheal administration of an appropriate amount of AAV2 8 predominantly targets lung tissue  AAV-mediated gene delivery that we used in this study induced the expression of the desired protein in lung parenchymal cells  including alveolar type II cells  We harnessed the technique to develop severe acute respiratory syndrome coronavirus 2  SARS-CoV-2 -susceptible mice  Three kinds of immune function-relevant gene knockout  KO  mice were transduced with AAV encoding human angiotensin-converting enzyme 2  hACE2  and then injected with SARS-CoV-2  Among these mice  type I interferon receptor  IFNAR  KO mice showed increased viral titer in the lungs compared to that in the other KO mice  Moreover  nucleocapsid protein of SARS-CoV-2 and multiple lesions in the trachea and lung were observed in AAV-hACE2-transduced  SARS-CoV-2-infected IFNAR KO mice  indicating the involvement of type I interferon signaling in the protection of SARS-CoV-2  In this study  we demonstrate the ease and rapidness of the intratracheal administration of AAV for targeting lung tissue in mice and this can be potentially used to study diverse pulmonary diseases,https://pubmed.ncbi.nlm.nih.gov/35007757
A novel antibody against the furin cleavage site of SARS-CoV-2 spike protein  effects on proteolytic cleavage and ACE2 binding,SARS-CoV-2 harbors a unique S1 S2 furin cleavage site within its spike protein  which can be cleaved by furin and other proprotein convertases  Proteolytic activation of SARS-CoV-2 spike protein at the S1 S2 boundary facilitates interaction with host ACE2 receptor for cell entry  To address this  high titer antibody was generated against the SARS-CoV-2-specific furin motif  Using a series of innovative ELISA-based assays  this furin site blocking antibody displayed high sensitivity and specificity for the S1 S2 furin cleavage site  including with a P681R mutation  and demonstrated effective blockage of both enzyme-mediated cleavage and spike-ACE2 interaction  The results suggest that immunological blocking of the furin cleavage site may afford a suitable approach to stem proteolytic activation of SARS-CoV-2 spike protein and curtail viral infectivity,https://pubmed.ncbi.nlm.nih.gov/35007661
Impact of COVID-19 on male fertility,COVID-19  the clinical condition caused by the SARS-CoV-2 virus  has been associated with massive cytokine storm and damage to multiple organ systems  Although evidence for the detection of SARS-CoV-2 virus in the testis remains scarce  testicular damage and dysregulation of gonadotropins associated with inflammation has been reported  Additionally  as a result of the rapidly evolving pandemic  frequently updated medical interventions and public policies leading to delays of care can play a role in fertility  This narrative review aims to summarize the current literature on how COVID-19 may influence male fertility,https://pubmed.ncbi.nlm.nih.gov/35007621
Environmental risks of polymer materials from disposable face masks linked to the COVID-19 pandemic,The indispensable role of plastic products in our daily life is highlighted by the COVID-19 pandemic again  Disposable face masks  made of polymer materials  as effective and cheap personal protective equipment  PPE   have been extensively used by the public to slow down the viral transmission  The repercussions of this have generated million tons of plastic waste being littered into the environment because of the improper disposal and mismanagement amid  And plastic waste can release microplastics  MPs  with the help of physical  chemical and biological processes  which is placing a huge MPs contamination burden on the ecosystem  In this work  the knowledge regarding to the combined effects of MPs and pollutants from the release of face masks and the impacts of wasted face masks and MPs on the environment  terrestrial and aquatic ecosystem  was systematically discussed  In view of these  some green technologies were put forward to reduce the amounts of discarded face masks in the environment  therefore minimizing MPs pollution at its source  Moreover  some recommendations for future research directions were proposed based on the remaining knowledge gaps  In a word  MPs pollution linked to face masks should be a focus worldwide,https://pubmed.ncbi.nlm.nih.gov/35007580
Passively sensing SARS-CoV-2 RNA in public transit buses,Affordably tracking the transmission of respiratory infectious diseases in urban transport infrastructures can inform individuals about potential exposure to diseases and guide public policymakers to prepare timely responses based on geographical transmission in different areas in the city  Towards that end  we designed and tested a method to detect SARS-CoV-2 RNA in the air filters of public buses  revealing that air filters could be used as passive fabric sensors for the detection of viral presence  We placed and retrieved filters in the existing HVAC systems of public buses to test for the presence of trapped SARS-CoV-2 RNA using phenol-chloroform extraction and RT-qPCR  SARS-CoV-2 RNA was detected in 14   5 37  of public bus filters tested in Seattle  Washington  from August 2020 to March 2021  These results indicate that this sensing system is feasible and that  if scaled  this method could provide a unique lens into the geographically relevant transmission of SARS-CoV-2 through public transit rider vectors  pooling samples of riders over time in a passive manner without installing any additional systems on transit vehicles,https://pubmed.ncbi.nlm.nih.gov/35007574
A vaccine built from potential immunogenic pieces derived from the SARS-CoV-2 spike glycoprotein  A computational approximation,Coronavirus Disease 2019  COVID-19  represents a new global threat demanding a multidisciplinary effort to fight its etiological agent-severe acute respiratory syndrome coronavirus 2  SARS-CoV-2   In this regard  immunoinformatics may aid to predict prominent immunogenic regions from critical SARS-CoV-2 structural proteins  such as the spike  S  glycoprotein  for their use in prophylactic or therapeutic interventions against this highly pathogenic betacoronavirus  Accordingly  in this study  an integrated immunoinformatics approach was applied to identify cytotoxic T cell  CTC   T helper cell  THC   and Linear B cell  BC  epitopes from the S glycoprotein in an attempt to design a high-quality multi-epitope vaccine  The best CTC  THC  and BC epitopes showed high viral antigenicity and lack of allergenic or toxic residues  as well as CTC and THC epitopes showed suitable interactions with HLA class I  HLA-I  and HLA class II  HLA-II  molecules  respectively  Remarkably  SARS-CoV-2 receptor-binding domain  RBD  and its receptor-binding motif  RBM  harbour several potential epitopes  The structure prediction  refinement  and validation data indicate that the multi-epitope vaccine has an appropriate conformation and stability  Three conformational epitopes and an efficient binding between Toll-like receptor 4  TLR4  and the vaccine model were observed  Importantly  the population coverage analysis showed that the multi-epitope vaccine could be used globally  Notably  computer-based simulations suggest that the vaccine model has a robust potential to evoke and maximize both immune effector responses and immunological memory to SARS-CoV-2  Further research is needed to accomplish with the mandatory international guidelines for human vaccine formulations,https://pubmed.ncbi.nlm.nih.gov/35007561
PICU in the MICU  how adult intensive care units can support pediatric care in public health emergencies,Initial waves of the 2019 coronavirus disease  COVID-19  pandemic have largely spared children  With the advent of vaccination in many older age groups and the spread of the highly-contagious Delta variant  however  children now represent a growing percentage of COVID-19 cases  Pediatric intensive care unit  PICU  capacity is far less than that of adult ICUs  Adult ICUs may need to support pediatric care  much as PICUs provided adult care earlier in the pandemic  Critically-ill children selected for care in adult settings should be at least 12 years of age and ideally have conditions common in children and adults alike  such as community-acquired sepsis or trauma  Children with complex  pediatric-specific disorders are best served in PICUs and are not recommended for transfer  The goal of such transfers is to maintain critical capacity for those children in greatest need of the PICU s unique abilities  thus preserving systems of care for all children,https://pubmed.ncbi.nlm.nih.gov/35007553
Addressing the Shadow Pandemic  COVID-19 Related Impacts  Barriers  Needs  and Priorities to Healthcare and Support for Women Survivors of Intimate Partner Violence and Brain Injury,BACKGROUND  Intimate partner violence  IPV  affects one in three women and has intensified during the COVID-19 pandemic  Although most injuries are to the head  face  and neck  the intersection of IPV and traumatic brain injury  TBI  remains largely unrecognized  This paper reports on COVID-19-related impacts  barriers  needs  and priorities to healthcare and support services for women survivors of IPV-TBI  METHODS  Using a participatory research model  we engaged 30 stakeholders in virtual meetings drawn from an IPV-TBI Knowledge to Practice  K2P  Network including women survivors  service providers  researchers  and decision makers  Data was gathered through small group breakout sessions facilitated by the research team using semi-structured discussion guides  Sessions were recorded  transcribed verbatim transcripts  and analysed using thematic analysis techniques  Stakeholders were given the opportunity to contribute to the analysis and knowledge transfer through member checking activities  Ethics approval was obtained through the University of Toronto  RESULTS  COVID-19 has increased rates and severity of IPV and barriers to services and help-seeking  These effects are exacerbated by infrastructure difficulties in rural and remote areas  including limited access to services  Implications of virtual care such as safety  privacy  and usability require careful consideration  Requests from survivors for peer support have increased significantly  indicating more formalized and better-supported peer roles are needed  An overwhelming lack of awareness of the intersection of IPV-TBI continues  Increasing education and awareness among healthcare and IPV service providers  survivors  and the public remains a priority  CONCLUSIONS  The COVID-19 pandemic has intensified IPV-TBI  increased challenges for women survivors  and accentuated the continued lack of IPV-TBI awareness  Key recommendations for healthcare and rehabilitation to address this priority are discussed,https://pubmed.ncbi.nlm.nih.gov/35007550
Pattern of serum protein capillary electrophoretogram in SARS- CoV-2 infection,BACKGROUND AND AIMS  Monoclonal biclonalgammopathy of unknown significance  MGUS BGUS  is observed in COVID-19  This study was conducted to determine the changes in serum protein electrophoresis  SPEP  in COVID-19  MATERIALS AND METHODS  In this descriptive  cross-sectional  study  serum inflammatory markers  CRP  IL-6 and ferritin  were measured and SPEP was carried out by capillary electrophoresis method in 35 controls and 30 moderate   58 severe COVID-19 cases  RESULTS  Serum inflammatory markers were increased in COVID-19 cases with severity  M-band s   beta-gamma bridging and pre-albumin band s  on SPEP were observed in 15 5  11   12  of severe cases and 3  4   0  moderate COVID-19 cases respectively  Area under curve  AUC  of alpha 1 and alpha 2 bands of SPEP increased significantly in severe COVID-19  CONCLUSIONS  We conclude that SPEP changes like the appearance of M-band s  indicating MGUS BGUS   beta- gamma bridging indicating the presence of fast-moving immunoglobulins  pre-albumin band indicating the rise in serum transthyretin level and the increase in AUC of alpha 1 and alpha 2 bands indicating the rise in positive acute phase reactants occur in COVID-19  The occurrence and magnitude of these changes are higher in severe COVID-19 than that in moderate COVID-19  The diagnostic and prognostic significance of these SPEP changes are worth exploring,https://pubmed.ncbi.nlm.nih.gov/35007527
Cathepsin B is a potential therapeutic target for coronavirus disease 2019 patients with lung adenocarcinoma,Coronavirus disease 2019  COVID-19  was declared a serious global public health emergency  Hospitalization and mortality rates of lung cancer patients diagnosed with COVID-19 are higher than those of patients presenting with other cancers  However  the reasons for the outcomes being disproportionately severe in lung adenocarcinoma  LUAD  patients with COVID-19 remain elusive  The present study aimed to identify the possible causes for disproportionately severe COVID-19 outcomes in LUAD patients and determine a therapeutic target for COVID-19 patients with LUAD  We used publicly available data from The Cancer Genome Atlas  TCGA  and Gene Expression Omnibus  GEO  databases and various bioinformatics tools to identify and analyze the genes implicated in SARS-CoV-2 infection in LUAD patients  Upregulation of the SARS-CoV-2 infection-related molecules dipeptidyl peptidase 4  basigin  cathepsin B  CTSB   methylenetetrahydrofolate dehydrogenase  and peptidylprolyl isomerase B rather than angiotensin-converting enzyme 2 may explain the relatively high susceptibility of LUAD patients to SARS-CoV-2 infection  CTSB was highly expressed in the LUAD tissues after SARS-CoV-2 infection  and its expression was positively correlated with immune cell infiltration and proinflammatory cytokine expression  These findings suggest that CTSB plays a vital role in the hyperinflammatory response in COVID-19 patients with LUAD and is a promising target for the development of a novel drug therapy for COVID-19 patients,https://pubmed.ncbi.nlm.nih.gov/35007526
Twelfth Interagency Registry for Mechanically Assisted Circulatory Support Report  Readmissions after LVAD,The twelfth annual report from the Society of Thoracic Surgeons  STS  Interagency Registry for Mechanically Assisted Circulatory Support  Intermacs  highlights outcomes for 26 688 continuous-flow LVAD patients over the past decade  2011-2020   In 2020  we observed the largest drop in yearly LVAD implant volumes since the registry s inception  which reflects the effects of the COVID-19 pandemic on cardiac surgical volumes in the United States  The 2018 heart transplant allocation policy change in the U S  continues to affect LVAD implantation volumes and device strategy  with 78 1  of patients now implanted as destination therapy  Despite an older and sicker patient cohort  survival in the recent era  2016-2020  at one- and two-years continues to improve at 82 8  and 74 1   Patient adverse event profile has also improved in the recent era  with significant reductions in stroke  gastrointestinal bleeding  infection  and device malfunction pump thrombosis  Finally  we review the burden of readmissions after LVAD implant and highlight an opportunity to improve patient outcomes by reducing this frequent and vexing problem,https://pubmed.ncbi.nlm.nih.gov/35007505
Characterization of SARS-CoV-2 isolated from a patient in Iran compared to SARS-CoV-2 different variants,Since the onset of the global epidemic of Severe Acute Respiratory Syndrome Coronavirus 2  SARS-CoV-2   whole genome sequencing of virus in all countries has been considered to track and predict virus transmission and variation patterns  In the current study we reported a novel complete genome sequence of SARS-CoV-2 isolated from Iran  Genomics variations and protein sequences were evaluated for the isolated sequence and seven Iranian complete genome sequences of SARS-CoV-2 from NCBI using the reference genome of the SARS-CoV-2 Wuhan-Hu-1  The results showed six nucleotide substitutions  The multiple sequence alignment of the spike protein of the Wuhan-Hu-1 strain and the emerging variants indicated similar its residue pattern in the current sequence to the Wuhan-Hu-1 strain  There were relatively similar binding affinity and residues involved in the interactions of the spike receptor-binding domain  RBD  of the Wuhan-Hu-1 strain  the variants and Hormozgan With angiotensin-converting enzyme 2  ACE2   Tracing the phylogeny of virus indicated distinct clustering of Iranian variants in branches close to the Asian countries  The mutation effect study on the function of proteins predicted neutral impact of all six nucleotide substitutions  However  the free energy calculations indicated a decreasing the protein stability related to the mutations  This data  consistent with similar studies  showed that despite the high similarity in the nucleotide sequence of the SARS-CoV-2  the mutation pattern varies from country to country  Therefore  any country can benefit from these studies to track and find appropriate strategies for treating and controlling the epidemic Communicated by Ramaswamy H  Sarma,https://pubmed.ncbi.nlm.nih.gov/35007466
